query_id,query,predicted,label
o8hepl0f,What are the symptoms of a retroperitoneal hematoma?,False,
l6mtk921,Posterior scleritis treatment options,False,
tf4l5i6f,HCV treatment side effects,False,
033rp3ei,What were the outcomes of the treatment for the patient's condition?,True,
29f3hjaj,What were the patient's outcomes at follow-up?,True,
fgn2dca8,post-discharge care plan for bile duct issues,False,
gtsbc3b2,Shoulder dislocation complications,False,
qf3451fg,What was the outcome of the patient's condition after treatment?,True,
jo19643q,Localized pain in region 1.1 and 2.1 during function symptoms,False,
f3g8a6hm,What was the outcome of the patient's condition?,True,
oclg7sfe,What was the patient's main complaint during follow-up?,True,
9cr9886o,What was the treatment for the patient's condition?,True,
rs2ctoq0,What was the patient's outcome after the surgery?,True,
qh4m9bh9,What is the patient's follow-up plan for her conditions?,True,
ifd760po,Outcome of the patient after treatment,True,
b38r34ta,Denosumab administration for hypercalcemia,False,
6c5n07jg,Outcome of the patient after discharge?,True,
prieegqb,Follow-up care for LEC diagnosis,False,
jln4jm35,symptoms of diplopia and exotropia in pediatric patients,False,
be47lkq5,What was the patient's initial condition upon admission?,True,
8445jrpc,What further tests were conducted to assess the patient's condition?,True,
gjpn5d43,What treatment was provided for the patient's condition?,True,
1f65as46,treatment for deep vein thrombosis and pulmonary embolism,False,
jqrfeh6a,Yersinia enterocolitica symptoms,False,
6ribj3jh,What was the patient's outcome after the treatment?,True,
hmnem65l,What were the findings of the follow-up CT scan?,False,
ts66dl83,Alternative treatments for unilateral masseter muscle hypertrophy,False,
nlk2k96g,cat injuries from being hit by a car symptoms,False,
ir0c7nnl,What was the outcome of the patient's treatment,True,
brr79i5a,Follow-up care for spinal epidural abscess after surgery,False,
mq5peke3,Postpartum thyroiditis diagnosis criteria,False,
e1d899t2,What were the main reasons for the patient's hospital admission?,False,
hf961on3,How did the patient's condition respond to the treatment?,True,
8lfggcap,What were the outcomes of the patient's one-year follow-up?,True,
6aglaknd,Follow-up oral hygiene instructions,False,
0ep5e1na,ANCA-negative vasculitis symptoms,False,
4tbb9s1r,symptoms of metastatic urachal adenocarcinoma,False,
0p74qcn3,What were the immunohistochemical results of the parotid gland tumor?,False,
dpjorg5f,What was the patient's condition before treatment?,True,
d2k0dmrf,What was the patient's condition at the latest follow-up?,True,
t16dqkts,Can you describe the patient's condition at 6-month follow-up?,True,
5l9b5sp9,What was the procedure used to remove the tumor?,False,
bjl9t7o4,hemoglobin levels in pregnancy complications,False,
54m27fek,What is the patient's current status after the surgery?,True,
jgbn9c9o,CRCC symptoms,False,
o508k325,What were the symptoms of the patient's condition?,True,
n7ogcgoo,What were the dimensions of the fluid collections located in the dorsolateral parts of the subscapular region?,False,
8lhp73dj,What were the results of the patient's follow-up?,True,
g4tkl2dm,rosuvastatin ezetimibe combination therapy outcome,False,
60rme0e1,What happened to the patient after the procedure?,True,
1dk4tgrk,Multiple myeloma treatment options for spinal cord compression,False,
asi0mh33,Placental abruption complications,False,
mijp251g,What were the results of the thrombophilia screening?,False,
t6p7kakg,left knee arthroscopy with ACL reconstruction complications,False,
n3922s28,What was the patient's follow-up plan after discharge?,True,
1pkj8d5b,esophageal cancer surgery complications,False,
qs9373e4,What were the results of the patient's 6-week follow-up?,True,
72k2skf3,How long did the patient take to recover after surgery?,True,
o05glarp,mild non-proliferative diabetic retinopathy symptoms,False,
g25oe99a,Can you describe the patient's brain MRI results?,False,
ppgf7gs6,What were the patient's symptoms after the procedure?,True,
am0bpd0n,Can the patient eat normally after surgery?,True,
437a7ph7,post-operative care plan for pyomyositis,False,
trp1a3cg,What complications did the patient experience during follow-up?,True,
9mqs07r1,Significance of CEP72-ROS1 rearrangement in NSCLC,False,
243ipo8k,How was the patient's condition after the procedure?,True,
183c2pcs,What was the patient's main condition upon admission?,True,
hrbp38p1,Patient's condition after removal of the appendix,False,
646o0d13,What was the patient's condition before surgery?,True,
plealnl1,What was the outcome of the diagnostic and therapeutic curettage?,False,
dp20qask,Follow-up care plan after knee arthroscopy,False,
9qgs23ac,post-operative care plan for Nd:YAG laser photodisruption,False,
04bkg40s,What was the follow-up plan for this patient?,True,
tb2mf32i,What were the patient's complications following surgery?,True,
713pmtaa,What is the expected outcome for the patient?,True,
3ftt5c11,What was the main cause of the patient's condition?,True,
sp91j24r,Post-diagnosis follow-up plan for endometriosis,False,
9eqpptk0,How long does the patient need to be followed after surgery?,True,
dhh6ci7s,laboratory tests for eyelid erythema diagnosis,False,
7kdqclhb,What was the patient's condition during the second admission?,True,
8k8d1db4,What were the results of the cortical stimulations?,False,
ligkg2q4,CT scan of the chest results in patients with SCID,False,
1579p677,Follow-up care for rhinoscleroma,False,
db3j73m5,How is the patient's condition after treatment?,True,
7jf0tna6,Can you describe the patient's condition at discharge?,True,
1mh2r0bp,What was the patient's condition prior to surgery?,True,
sq9clsn6,What is the follow-up plan for the patients?,True,
9kt24so6,What was the cause of the patient's increased eosinophils?,False,
gajqhknm,Lymphangioma symptoms,False,
ob8si4fp,Cervical spine immobilization procedure,False,
8i4o3p1b,gliosarcoma symptoms,False,
jdhsamp3,How was the patient's condition managed?,True,
qe2qglff,myofibroma prognosis,False,
njr3aip2,What are the follow-up appointments for this patient?,True,
2gqt6m8d,What are the patient's dietary needs?,False,
a1dpifen,post-hospice care plan,False,
6oma0hma,What were the results of the patient's one-year follow-up?,True,
21nh77h6,What happened to the patient four days after discharge?,False,
orq869en,anaplastic astrocytoma treatment options,False,
513lq332,What was the patient's condition after discharge?,True,
01h3cf9m,what was the final outcome of the patient's treatment?,True,
kj9mqh6q,What was the outcome of the patient's stem cell boost?,True,
77h36sb4,Sirolimus withdrawal protocol,False,
cd3gg3m6,How did the patient's condition change during the procedure?,True,
tbp2kd2p,post-operative care plan for phacoemulsification,False,
leas7i2o,Symptoms of dislocated G-J tube,False,
jk6b8nta,Diagnosis of congestive heart failure in children,False,
7mrqfmse,Schwannoma symptoms,False,
6sbskct4,What was the patient's diagnosis after admission?,True,
5s6g8nol,How did the patient's condition change after surgery?,True,
ie6l4ka0,How did the patient's condition evolve during treatment?,True,
01nttg6d,What were the patient's symptoms during the 10-year follow-up?,True,
843fps9f,gestational trophoblastic neoplasia symptoms,False,
qi1ib2pq,What was the follow-up period for the patient?,False,
9s0k5sqa,What is the recommended follow-up schedule for the patient?,True,
68r1c39m,What were the patient's symptoms after treatment?,True,
kjbnsftq,What were the patient's clinical findings?,False,
08rlafjd,What was the patient's condition at discharge?,True,
bllm723n,Symptoms of CCS concomitant with MDS,False,
dcba4s6a,Follow-up care after anti-tuberculous chemotherapy,False,
hmco9km5,Follow-up care plan for the patient's condition,False,
loq0gor3,How long did the patient remain tumor-free after surgery?,True,
0ec1e686,Why was the patient's condition not improving despite treatment?,True,
3pib19og,What was the outcome of the CT and PET scans?,False,
8l759og7,What was the outcome of the patient's follow-up?,True,
ea6n3sql,What medications will the patient be taking after discharge?,True,
b57m2g9n,What was the patient's outcome after surgery and at 5-year follow-up?,True,
sri1mm6s,What was the patient's condition upon admission?,True,
hnegpls9,What was the outcome of the treatment for the patient's condition?,True,
tt93tic6,What was the patient's condition at follow-up?,True,
5mha1ehb,Anterior myocardial infarction diagnosis,False,
649ofl46,What was the patient's condition at the time of admission?,True,
d86ipnli,What was the patient's initial condition on admission?,True,
8ai8s7qn,Post-discharge follow-up plan for hemochromatosis patients,False,
kt957g49,Apert syndrome complications,False,
ncn250ae,What diagnostic tests showed evidence of inflammation?,False,
4ee7qhi2,post-overdose care plan,False,
3lepoe07,What is the patient's current status after treatment?,True,
mqs9189a,Uterus didelphys anomaly treatment options,False,
el0nfn96,How long does the patient need to stay in the hospital after the procedure?,True,
jf94kshl,Follow-up imaging studies,False,
r6br0af0,What was the follow-up plan for the patient after discharge?,True,
7kg9co97,Tooth replantation procedure,False,
rr5kc3n1,What was the outcome for the patient?,True,
2rn24sib,Can you describe the patient's condition at the time of admission?,True,
hsg52a84,What was the patient's diagnosis after the initial surgery?,True,
t6ncrcen,What treatment will the patient receive after discharge?,True,
akpi91ct,"What were the patient's symptoms during readmission, and what were the results of the investigations?",False,
c50g7kh3,How was the patient's condition managed while in hospital?,True,
6051j3ei,treatment options for solitary fibrous tumor,False,
